date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,80,75,75,40,40,40,15,12,12,2,2,2,12,12,12
2020-03-09,9,92,92,92,47,47,47,15,15,15,2,2,2,15,15,15
2020-03-10,10,112,111,111,60,56,56,18,19,19,2,2,2,19,18,18
2020-03-11,11,127,136,136,64,67,67,20,24,24,3,3,3,22,23,23
2020-03-12,12,156,165,165,77,80,80,27,29,29,3,4,4,27,29,29
2020-03-13,13,198,200,200,91,95,95,35,36,36,5,4,4,36,36,36
2020-03-14,14,248,244,247,111,113,112,46,44,45,5,5,5,49,45,48
2020-03-15,15,298,297,299,133,134,133,62,55,60,7,6,7,57,57,58
2020-03-16,16,376,361,371,170,160,165,68,68,70,7,7,7,71,71,72
2020-03-17,17,453,439,452,209,191,204,78,84,81,7,9,8,94,89,92
2020-03-18,18,566,534,560,266,227,257,94,104,96,10,11,10,121,112,119
2020-03-19,19,708,649,698,306,270,306,144,129,134,10,13,11,150,140,150
2020-03-20,20,875,790,865,381,322,375,184,159,177,10,16,11,178,176,182
2020-03-21,21,,961,1052,,384,446,,197,219,,19,13,,220,227
2020-03-22,22,,1168,1279,,457,531,,243,270,,23,16,,275,285
2020-03-23,23,,1421,1556,,544,633,,300,334,,27,19,,345,357
2020-03-24,24,,1728,1893,,648,754,,372,413,,33,23,,432,447
2020-03-25,25,,2102,2302,,772,898,,459,511,,39,28,,541,559
2020-03-26,26,,2557,2800,,919,1070,,568,632,,47,33,,677,700
2020-03-27,27,,3110,3406,,1095,1274,,703,781,,57,40,,848,877
2020-03-28,28,,3783,4143,,1304,1517,,869,966,,69,48,,1062,1099
2020-03-29,29,,4602,5039,,1553,1807,,1074,1195,,83,58,,1330,1376
2020-03-30,30,,5597,6129,,1850,2153,,1328,1477,,99,70,,1666,1723
