date,days,Total,Total_ol,Total_est,NSW,NSW_ol,NSW_est,Qld,Qld_ol,Qld_est,Tas,Tas_ol,Tas_est,Vic,Vic_ol,Vic_est
2020-03-08,8,12,75,12,12,40,12,12,12,12,12,2,12,12,12,12
2020-03-09,9,15,92,15,15,47,15,15,15,15,15,2,15,15,15,15
2020-03-10,10,19,111,18,19,56,18,19,19,18,19,2,18,19,18,18
2020-03-11,11,22,136,23,22,67,23,22,24,23,22,3,23,22,23,23
2020-03-12,12,27,165,29,27,80,29,27,29,29,27,4,29,27,29,29
2020-03-13,13,36,200,36,36,95,36,36,36,36,36,4,36,36,36,36
2020-03-14,14,49,244,48,49,113,48,49,44,48,49,5,48,49,45,48
2020-03-15,15,57,297,58,57,134,58,57,55,58,57,6,58,57,57,58
2020-03-16,16,71,361,72,71,160,72,71,68,72,71,7,72,71,71,72
2020-03-17,17,94,439,92,94,191,92,94,84,92,94,9,92,94,89,92
2020-03-18,18,,534,116,,227,116,,104,116,,11,116,,112,116
2020-03-19,19,,649,145,,270,145,,129,145,,13,145,,140,145
2020-03-20,20,,790,181,,322,181,,159,181,,16,181,,176,181
2020-03-21,21,,961,227,,384,227,,197,227,,19,227,,220,227
2020-03-22,22,,1168,285,,457,285,,243,285,,23,285,,275,285
2020-03-23,23,,1421,356,,544,356,,300,356,,27,356,,345,356
2020-03-24,24,,1728,446,,648,446,,372,446,,33,446,,432,446
2020-03-25,25,,2102,559,,772,559,,459,559,,39,559,,541,559
2020-03-26,26,,2557,700,,919,700,,568,700,,47,700,,677,700
2020-03-27,27,,3110,877,,1095,877,,703,877,,57,877,,848,877
2020-03-28,28,,3783,1098,,1304,1098,,869,1098,,69,1098,,1062,1098
2020-03-29,29,,4602,1375,,1553,1375,,1074,1375,,83,1375,,1330,1375
2020-03-30,30,,5597,1722,,1850,1722,,1328,1722,,99,1722,,1666,1722
