,NSW,Qld,Vic,SA,WA,Tas,ACT,NT,Total,New Cases,day
2020-03-08,40.0,15.0,12.0,7.0,4.0,2.0,0.0,0.0,80.0,7.0,8
2020-03-09,47.0,15.0,15.0,7.0,6.0,2.0,0.0,0.0,92.0,12.0,9
2020-03-10,60.0,18.0,19.0,7.0,6.0,2.0,0.0,0.0,112.0,20.0,10
2020-03-11,64.0,20.0,22.0,9.0,9.0,3.0,0.0,0.0,127.0,15.0,11
2020-03-12,77.0,27.0,27.0,12.0,9.0,3.0,1.0,0.0,156.0,29.0,12
2020-03-13,91.0,35.0,36.0,16.0,14.0,5.0,1.0,0.0,198.0,42.0,13
2020-03-14,111.0,46.0,49.0,19.0,17.0,5.0,1.0,0.0,248.0,50.0,14
2020-03-15,133.0,62.0,57.0,20.0,18.0,7.0,1.0,0.0,298.0,50.0,15
2020-03-16,170.0,68.0,71.0,30.0,28.0,7.0,2.0,0.0,376.0,78.0,16
2020-03-17,209.0,78.0,94.0,32.0,31.0,7.0,2.0,0.0,453.0,77.0,17
2020-03-18,266.0,94.0,121.0,37.0,35.0,10.0,3.0,0.0,566.0,113.0,18
2020-03-19,306.0,144.0,150.0,42.0,52.0,10.0,4.0,0.0,708.0,142.0,19
2020-03-20,381.0,184.0,178.0,50.0,64.0,10.0,6.0,2.0,875.0,167.0,20
2020-03-21,435.0,221.0,229.0,67.0,90.0,16.0,9.0,4.0,1071.0,196.0,21
